Recipe,Image Link
Roasted Veggie Skewers,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/240ec2f8edc64e80871f56242addce52/BFV10195_Skewers4Ways.jpg?resize=300:*&output-format=auto&output-quality=auto
Turkey Tacos,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/dd63e7c4b99748f1971aae06448279bd/BFV22318_GroundTurkey3WaysFINAL.jpg?resize=300:*&output-format=auto&output-quality=auto
Mushroom Tacos,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/b4c3e254fcdd4086aeab5a0e6382ab51/MeatlessTacos5WaysFBFINAL.jpg?resize=300:*&output-format=auto&output-quality=auto
Vegan Ramen,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/4e1c1bd803f4457d84dd12aca9aabf82/Vegan_Recipes_FB.jpg?resize=300:*&output-format=auto&output-quality=auto
Chicken Cobb Salad With Homemade Ranch,https://img.buzzfeed.com/video-api-prod/assets/dd9cfd7fd7414a3d844c7f2d5df28d93/BFV18842_ChickenCobbSaladWithHomemadeRanchThumb.jpg?resize=300:*&output-format=auto&output-quality=auto
Southwestern Salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/9cbd5f057b774b58bf9f9b38e55ecc56/fb.jpg?resize=300:*&output-format=auto&output-quality=auto
Cauliflower Grilled Cheese,https://img.buzzfeed.com/video-api-prod/assets/8191b421396a4a5a8de33024f3b8b5fe/fb_thumb.jpg?resize=300:*&output-format=auto&output-quality=auto
Tofu & Vegetable Skewers,no image
Cheddar Bacon Ranch Bowl Burgers,no image
Nutrient-Packed Colorful Super Salad,no image
Garlic And Ginger Shrimp Stir Fry,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/254748.jpg?resize=300:*&output-format=auto&output-quality=auto
